_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
83,3014977,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Fenelon Dr: Underpass Gt - Karen Rd,-79.33842970748883,43.76223175506707,439616,5228.3,5228.3,,08:15:00,669,17:00:00,498,35.1,44.5,53.7,
84,3014856,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Markham Rd: Walkway N of Verne and E of Markham - Walkway S of Mclevin and E of Markham,-79.24069126515961,43.797615680106475,20050836,49130.3,49130.3,,08:00:00,2991,16:30:00,3035,42.5,57.1,63.9,
85,3014961,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Birchmount Rd: Stephen Leacock Park Trl - Huntingwood Dr,-79.30177817838936,43.789223628309884,11033986,23698,23698,,08:15:00,2082,16:15:00,2006,46.1,53.9,59,
86,3014937,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Walnut Ave: Stanley Ave - Lane S of Adelaide and E of Walnut,-79.40938500000001,43.6434,14025025,505,505,,08:30:00,37,17:15:00,55,26.8,34.6,39.3,
87,3014953,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Sheppard Ave E: Shaughnessy Blvd - Don Mills Rd,-79.35017972732955,43.77441876345557,438319,28287.7,28287.7,,08:15:00,1817,15:30:00,2211,52.5,59.8,66.3,
88,3014956,ATR_SPEED_VOLUME,2025-12-02,2025-12-04,72,Victoria Park Ave: Southmead Rd - O'Connor Dr,-79.30157831712391,43.722082384643976,10158856,21418.3,21418.3,,08:15:00,1285,16:00:00,1589,44.6,52.7,59,
89,3014938,ATR_SPEED_VOLUME,2025-11-25,2025-11-27,72,Gaydon Ave: Weston Rd - Strathburn Blvd,-79.53535,43.72086,444960,1701,1701,,07:45:00,198,14:30:00,162,39.9,48.1,53.6,
90,3014908,ATR_SPEED_VOLUME,2025-11-25,2025-11-27,72,Markham Rd: Cougar Crt - Dunelm St,-79.22004000000001,43.74583,9340537,23434,23434,,08:15:00,1459,16:30:00,1837,50,58.3,63.7,
91,3014918,ATR_SPEED_VOLUME,2025-11-25,2025-11-27,72,Village Green Sq to Kennedy Rd S / Hwy 401 Collectors W Ramp,-79.28414033154034,43.77756642030928,30030122,9914.7,9914.7,,08:00:00,818,17:15:00,852,36.4,43.1,47.3,
92,3014917,ATR_SPEED_VOLUME,2025-11-25,2025-11-27,72,McNicoll Ave: Morbank Dr - Silver Springs Blvd,-79.30785733031155,43.809491673443155,30000574,25080.3,25080.3,,08:15:00,2053,16:45:00,2016,44.9,53.9,59.1,
